obs	floron	Latijnse naam	
2475	404	Dianthus deltoides	
6692	406	Digitalis purpurea	
6693	407	Digitaria ischaemum	
6694	408	Digitaria sanguinalis	
6696	409	Diplotaxis muralis	
6697	410	Diplotaxis tenuifolia	
6698	412	Dipsacus fullonum	
6699	411	Dipsacus pilosus	
6704	415	Draba muralis	
2478	417	Drosera intermedia	
2480	418	Drosera rotundifolia	
6706	426	Dryopteris carthusiana	
6701	420	Dryopteris cristata	
6708	419	Dryopteris dilatata	
6710	421	Dryopteris filix-mas	
6711	428	Echinochloa crus-galli	
6714	431	Echium vulgare	
26439	6186	Elatine s.l.	
6721	435	Eleocharis acicularis	
6722	436	Eleocharis multicaulus	
6723	437	Eleocharis palustris	
2485	438	Eleocharis quinqueflora	
6724	440	Eleocharis uniglumis	
2486	1154	Eleogiton fluitans	
2487	441	Elodea canadensis	
6726	442	Elodea nuttallii	
6727	1073	Elymus caninus	
26441	445	Elytrigia atherica/maritima	
195627	444	Elytrigia juncea	
6729	446	Elytrigia repens	
6730	447	Empetrum nigrum	
6731	448	Epilobium ciliatum	
6732	451	Epilobium hirsutum	
6734	454	Epilobium montanum	
6735	455	Epilobium obscurum	
2489	456	Epilobium palustre	
6736	457	Epilobium parviflorum	
6737	458	Epilobium roseum	
6738	1642	Epilobium tetragonum	
6740	5490	Epipactis helleborine	
18892	460	Epipactis helleborine+neerlandica	
2492	461	Epipactis palustris	
6741	462	Equisetum arvense	
6742	463	Equisetum fluviatile	
6743	464	Equisetum hyemale	
6744	466	Equisetum palustre	
6746	469	Equisetum telmateia	
16739	465	Equisetum x litorale	
6747	1685	Eragrostis minor	
6748	1762	Eragrostis pilosa	
6752	473	Erica tetralix	
297901	474	Erigeron acer	
6754	1720	Erigeron annuus	
6755	2485	Erigeron karvinskianus	
6756	476	Eriophorum angustifolium	
2498	470	Eriophorum vaginatum	
6757	1917	Erodium cicutarium	
2499	481	Erodium lebelii	
6758	483	Erophila verna	
6760	484	Erucastrum gallicum	
6761	485	Eryngium campestre	
6762	486	Eryngium maritimum	
6763	487	Erysimum cheiranthoides	
6767	489	Euonymus europaeus	
6768	490	Eupatorium cannabinum	
6769	492	Euphorbia cyparissias	
6771	2388	Euphorbia esula	
2503	494	Euphorbia exigua	
6772	495	Euphorbia helioscopia	
6773	1689	Euphorbia lathyrus	
6774	498	Euphorbia peplus	
2510	2316	Euphrasia stricta	
6776	513	Fagus sylvatica	
6779	970	Fallopia convolvulus	
6780	971	Fallopia dumetorum	
6781	1873	Fallopia japonica	
6782	1875	Fallopia sachalinensis	
6783	517	Festuca arenaria	
6784	514	Festuca arundinacea	
6786	1474	Festuca filiformis	
6787	515	Festuca gigantea	
6785	1472	Festuca lemanii	
6789	519	Festuca pratensis	
6790	520	Festuca rubra	
18852	1047	Ficaria verna verna	
2515	524	Filago minima	
6792	526	Filipendula ulmaria	
2520	529	Fragaria vesca	
6796	531	Fraxinus excelsior	
6799	1690	Fumaria muralis	
6800	533	Fumaria officinalis	
6806	538	Galanthus nivalis	
6807	540	Galeopsis bifida	
18893	2222	Galeopsis bifida + tetrahit	
2527	541	Galeopsis segetum	
6808	542	Galeopsis speciosa	
6809	543	Galeopsis tetrahit	
6810	545	Galinsoga parviflora	
6811	544	Galinsoga quadriradiata	
6812	546	Galium aparine	
6813	550	Galium mollugo	
6814	110	Galium odoratum	
6815	2376	Galium palustre	
6816	549	Galium saxatile	
6818	556	Galium uliginosum	
6819	557	Galium verum	
2533	558	Genista anglica	
2535	560	Genista pilosa	
2536	561	Genista tinctoria	
2538	568	Gentiana pneumonanthe	
6822	570	Geranium dissectum	
6824	571	Geranium molle	
6825	572	Geranium phaeum	
6826	573	Geranium pratense	
6827	2442	Geranium purpureum	
6828	574	Geranium pusillum	
6829	575	Geranium pyrenaicum	
6830	576	Geranium robertianum	
6831	577	Geranium rotundifolium	
